Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
124;23197;"Infinite Dimensional Analysis, Quantum Probability and Related Topics";journal;"17936306, 02190257";0,533;Q2;33;29;83;918;84;83;0,83;31,66;10,00;0;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1998-2023";"Applied Mathematics (Q2); Mathematical Physics (Q2); Statistics and Probability (Q2); Statistical and Nonlinear Physics (Q3)";"Mathematics; Physics and Astronomy"
125;21100200822;"Pakistan Journal of Statistics and Operation Research";journal;"22205810, 18162711";0,530;Q2;25;67;204;2106;355;204;1,79;31,43;33,77;0;10;Pakistan;Asiatic Region;"College of Statistical and Actuarial Sciences, University of Punjab";"2011-2023";"Modeling and Simulation (Q2); Statistics and Probability (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
126;12119;"Journal of Applied Statistics";journal;"02664763, 13600532";0,529;Q2;69;212;500;7208;884;483;1,86;34,00;31,02;3;42;United Kingdom;Western Europe;"Routledge";"1970-1971, 1973-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
127;23559;"Journal of Statistical Computation and Simulation";journal;"15635163, 00949655";0,527;Q3;65;182;532;6222;765;531;1,36;34,19;29,18;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972-2023";"Applied Mathematics (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
128;145274;"Journal of Statistical Mechanics: Theory and Experiment";journal;"17425468";0,527;Q2;91;257;992;13150;1590;992;1,53;51,17;16,64;0;14;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2004-2023";"Statistics and Probability (Q2); Statistical and Nonlinear Physics (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Physics and Astronomy"
129;5800173396;"Sequential Analysis";journal;"07474946, 15324176";0,527;Q3;25;23;80;612;75;79;0,78;26,61;26,09;0;2;United States;Northern America;"Taylor and Francis Ltd.";"1984-1995, 2007-2023";"Modeling and Simulation (Q2); Statistics and Probability (Q3)";"Mathematics"
130;26928;"Stochastic Analysis and Applications";journal;"15329356, 07362994";0,527;Q3;41;53;159;1540;241;159;1,52;29,06;29,03;0;10;United States;Northern America;"Taylor and Francis Ltd.";"1983-2023";"Applied Mathematics (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
131;21100455415;"Regional Statistics";journal;"20648243, 20639538";0,526;Q3;19;32;73;1548;242;73;3,46;48,38;32,26;0;19;Hungary;Eastern Europe;"Hungarian Central Statistical Office";"2015-2023";"Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
132;12134;"Journal of Official Statistics";journal;"0282423X";0,523;Q3;32;50;109;2020;183;105;1,40;40,40;36,72;4;8;Sweden;Western Europe;"Statistics Sweden";"1986-1989, 1991, 2009-2023";"Statistics and Probability (Q3)";"Mathematics"
133;21100902965;"Measurement";journal;"15366367, 15366359";0,522;Q3;21;16;48;680;69;48;1,16;42,50;33,33;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2023";"Applied Mathematics (Q2); Education (Q2); Statistics and Probability (Q3)";"Mathematics; Social Sciences"
134;8600153118;"Mathematics and Financial Economics";journal;"18629679";0,510;Q3;29;24;81;824;118;80;1,56;34,33;25,00;0;4;Germany;Western Europe;"Springer Verlag";"2007-2023";"Finance (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
135;28893;"Canadian Journal of Statistics";journal;"03195724, 1708945X";0,495;Q3;56;69;136;2802;107;130;0,72;40,61;29,83;0;8;United States;Northern America;"Wiley-Blackwell";"1973-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
136;21101066160;"Mathematical Sciences";journal;"22517456, 20081359";0,478;Q3;24;48;123;1751;297;123;2,19;36,48;26,04;0;2;Germany;Western Europe;"Springer Nature";"2012-2023";"Analysis (Q2); Applied Mathematics (Q2); Information Systems (Q2); Computer Science Applications (Q3); Numerical Analysis (Q3); Signal Processing (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
137;28501;"Journal of Mathematical Imaging and Vision";journal;"09249907, 15737683";0,477;Q3;81;58;213;2623;406;207;2,06;45,22;25,16;0;0;Netherlands;Western Europe;"Springer Netherlands";"1992-2023";"Applied Mathematics (Q2); Condensed Matter Physics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2); Computer Vision and Pattern Recognition (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics; Physics and Astronomy"
138;39594;"Stochastics";journal;"17442516, 17442508";0,473;Q3;28;50;167;1458;202;167;1,18;29,16;14,00;0;0;Switzerland;Western Europe;"Gordon and Breach Science Publishers";"1975, 1979-1984, 2007-2023";"Modeling and Simulation (Q2); Statistics and Probability (Q3)";"Mathematics"
139;12837;"Metrika";journal;"1435926X, 00261335";0,454;Q3;46;42;144;1255;127;144;0,71;29,88;23,96;0;1;Germany;Western Europe;"Springer Verlag";"1958-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
140;29978;"Stat";journal;"20491573";0,454;Q3;22;105;195;3115;166;195;0,85;29,67;41,77;0;11;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2012-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
141;14794;"Statistics and Probability Letters";journal;"01677152";0,454;Q3;73;202;729;3619;628;728;0,91;17,92;28,79;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1982-2024";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
142;14054;"SORT";journal;"16962281, 20138830";0,453;Q3;25;5;31;144;46;31;1,87;28,80;63,64;0;0;Spain;Western Europe;"Institut d'Estadistica de Catalunya";"2003-2021, 2023";"Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
143;21100367884;"Statistics and Risk Modeling";journal;"21931402, 21967040";0,441;Q3;21;7;11;251;9;11;1,00;35,86;25,00;0;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1982-2002, 2011-2023";"Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
144;144935;"Statistical Modelling";journal;"1471082X";0,427;Q3;50;38;86;1486;82;79;1,12;39,11;31,43;0;7;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
145;28921;"Communications in Statistics - Theory and Methods";journal;"1532415X, 03610926";0,412;Q3;71;515;1210;13791;1286;1203;1,08;26,78;29,68;1;18;United States;Northern America;"Taylor and Francis Ltd.";"1976-2023";"Statistics and Probability (Q3)";"Mathematics"
146;21100888787;"Annals of Economics and Statistics";journal;"21154430, 19683863";0,411;Q3;6;17;70;712;32;68;0,39;41,88;35,90;1;9;France;Western Europe;"Groupe des ecoles nationales d'economie et statistique";"2018-2023";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
147;21100941199;"Statistics and Public Policy";journal;"2330443X";0,385;Q3;15;16;30;537;55;24;2,88;33,56;38,30;0;6;United States;Northern America;"Taylor and Francis Inc.";"2014-2023";"Public Administration (Q2); Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Social Sciences"
148;21101039083;"Nonautonomous Dynamical Systems";journal;"23530626";0,381;Q3;10;20;47;522;51;47;1,09;26,10;5,26;0;4;Germany;Western Europe;"Walter de Gruyter GmbH";"2014-2023";"Analysis (Q3); Applied Mathematics (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Mathematics"
149;144816;"Methodology and Computing in Applied Probability";journal;"13875841";0,380;Q3;35;137;218;3940;233;214;1,08;28,76;26,23;0;5;Netherlands;Western Europe;"Springer Netherlands";"2004-2023";"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q3)";"Mathematics"
150;14785;"Statistics";journal;"02331888, 10294910";0,379;Q3;39;64;195;1989;154;194;0,55;31,08;25,18;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
151;23526;"Communications in Statistics Part B: Simulation and Computation";journal;"15324141, 03610918";0,375;Q3;55;568;751;16116;872;750;1,07;28,37;31,13;2;33;United States;Northern America;"Taylor and Francis Ltd.";"1976-2023";"Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
152;27401;"Theory of Probability and its Applications";journal;"0040585X, 10957219";0,373;Q3;33;70;114;1481;75;114;0,73;21,16;21,78;0;1;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1996-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
