Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
81;15654;"Journal of Agricultural, Biological, and Environmental Statistics";journal;"10857117, 15372693";0,782;Q2;57;35;101;1003;190;98;2,08;28,66;28,97;2;6;United States;Northern America;"Springer New York";"1996-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Agricultural and Biological Sciences; Decision Sciences; Environmental Science; Mathematics"
82;28500;"Journal of Complexity";journal;"0885064X, 10902708";0,779;Q2;55;38;108;1126;175;106;1,59;29,63;5,88;0;0;United States;Northern America;"Academic Press Inc.";"1985-2024";"Algebra and Number Theory (Q1); Control and Optimization (Q1); Mathematics (miscellaneous) (Q1); Applied Mathematics (Q2); Numerical Analysis (Q2); Statistics and Probability (Q2)";"Mathematics"
83;24562;"Mathematical Biosciences";journal;"00255564, 18793134";0,775;Q2;109;63;332;3194;1165;331;4,06;50,70;35,62;1;31;United States;Northern America;"Elsevier Inc.";"1967-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
84;21100379294;"Operations Research Perspectives";journal;"22147160";0,775;Q2;31;27;110;1567;395;109;3,60;58,04;25,35;0;6;Netherlands;Western Europe;"Elsevier B.V.";"2014-2023";"Control and Optimization (Q1); Management Science and Operations Research (Q2); Statistics and Probability (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
85;21124;"Pharmaceutical Statistics";journal;"15391612, 15391604";0,775;Q2;46;94;198;2696;247;184;1,01;28,68;27,70;0;17;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2004-2023";"Pharmacology (Q2); Pharmacology (medical) (Q2); Statistics and Probability (Q2)";"Mathematics; Medicine; Pharmacology, Toxicology and Pharmaceutics"
86;21100231200;"Alea";journal;"19800436";0,773;Q2;18;58;134;1664;116;134;0,73;28,69;21,01;0;0;Brazil;Latin America;"Instituto Nacional de Matematica Pura e Aplicada";"2011-2023";"Statistics and Probability (Q2)";"Mathematics"
87;5700165208;"Journal of Physics A: Mathematical and Theoretical";journal;"17518113, 17518121";0,760;Q2;167;471;1616;21618;3455;1610;2,30;45,90;15,91;1;9;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2007-2023";"Physics and Astronomy (miscellaneous) (Q1); Mathematical Physics (Q2); Modeling and Simulation (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
88;28501;"Journal of Mathematical Imaging and Vision";journal;"09249907, 15737683";0,752;Q2;81;64;234;2596;466;225;1,82;40,56;19,15;0;0;Netherlands;Western Europe;"Springer Netherlands";"1992-2023";"Applied Mathematics (Q2); Computer Vision and Pattern Recognition (Q2); Condensed Matter Physics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics; Physics and Astronomy"
89;21100466426;"Communications in Mathematics and Statistics";journal;"21946701, 2194671X";0,725;Q2;16;25;72;653;139;72;0,71;26,12;30,23;0;0;Germany;Western Europe;"Springer Verlag";"2013-2023";"Applied Mathematics (Q2); Computational Mathematics (Q2); Statistics and Probability (Q2)";"Mathematics"
90;21100206605;"Spatial Statistics";journal;"22116753";0,718;Q2;37;79;164;3590;377;160;2,02;45,44;30,60;1;19;Netherlands;Western Europe;"Elsevier B.V.";"2012-2023";"Computers in Earth Sciences (Q2); Management, Monitoring, Policy and Law (Q2); Statistics and Probability (Q2)";"Earth and Planetary Sciences; Environmental Science; Mathematics"
91;21100209501;"Statistics in Biopharmaceutical Research";journal;"19466315";0,708;Q2;25;61;149;1475;205;126;1,37;24,18;32,58;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Pharmaceutical Science (Q1); Statistics and Probability (Q2)";"Mathematics; Pharmacology, Toxicology and Pharmaceutics"
92;12136;"Journal of Statistical Planning and Inference";journal;"03783758";0,688;Q2;86;101;259;3140;264;258;1,02;31,09;31,30;1;3;Netherlands;Western Europe;"Elsevier B.V.";"1977-2024";"Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
93;19124;"Queueing Systems";journal;"15729443, 02570130";0,685;Q2;58;39;125;1300;147;116;1,03;33,33;23,53;0;1;Netherlands;Western Europe;"Springer Netherlands";"1986-2023";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Computer Science; Decision Sciences; Mathematics"
94;12837;"Metrika";journal;"1435926X, 00261335";0,684;Q2;46;52;135;1430;145;134;0,99;27,50;33,33;0;2;Germany;Western Europe;"Springer Verlag";"1958-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
95;23035;"Journal of Biopharmaceutical Statistics";journal;"10543406, 15205711";0,679;Q2;56;58;249;1352;276;237;1,12;23,31;38,62;0;8;United States;Northern America;"Taylor and Francis Ltd.";"1991-2023";"Pharmacology (Q2); Pharmacology (medical) (Q2); Statistics and Probability (Q2)";"Mathematics; Medicine; Pharmacology, Toxicology and Pharmaceutics"
96;26924;"Statistical Inference for Stochastic Processes";journal;"13870874";0,669;Q2;22;24;73;697;58;71;0,77;29,04;28,26;0;0;Netherlands;Western Europe;"Springer Netherlands";"2001, 2005-2023";"Statistics and Probability (Q2)";"Mathematics"
97;12120;"Journal of Nonparametric Statistics";journal;"10290311, 10485252";0,652;Q2;44;23;132;761;152;132;0,81;33,09;35,94;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
98;21101020132;"Fractal and Fractional";journal;"25043110";0,644;Q2;33;282;140;11400;528;138;3,83;40,43;25,41;0;14;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2023";"Analysis (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
99;24568;"Advances in Applied Probability";journal;"00018678, 14756064";0,642;Q2;63;38;159;1256;137;159;0,95;33,05;19,54;0;2;United Kingdom;Western Europe;"Cambridge University Press";"1969-1971, 1973-1976, 1984, 1996-2023";"Applied Mathematics (Q2); Statistics and Probability (Q2)";"Mathematics"
100;8600153118;"Mathematics and Financial Economics";journal;"18629679";0,638;Q2;29;30;76;1185;96;75;1,18;39,50;24,66;2;4;Germany;Western Europe;"Springer Verlag";"2007-2023";"Finance (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
101;11700154400;"TOP";journal;"11345764, 18638279";0,627;Q2;31;37;100;1384;131;67;1,26;37,41;20,88;0;4;Germany;Western Europe;"";"1993-1996, 2003, 2007-2023";"Discrete Mathematics and Combinatorics (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Decision Sciences; Mathematics"
102;23213;"Annals of the Institute of Statistical Mathematics";journal;"00203157, 15729052";0,614;Q2;50;46;151;1512;160;149;1,15;32,87;21,00;0;2;Netherlands;Western Europe;"Springer Netherlands";"1949-1957, 1959-2023";"Statistics and Probability (Q2)";"Mathematics"
103;4000152132;"International Journal of Biostatistics";journal;"15574679";0,614;Q2;44;20;56;672;74;55;1,35;33,60;24,62;1;6;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2023";"Medicine (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Medicine"
104;23978;"Journal of Theoretical Probability";journal;"15729230, 08949840";0,612;Q2;43;87;259;2198;188;259;0,65;25,26;19,08;0;0;United States;Northern America;"Springer New York";"1988-2023";"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
105;21101021576;"Journal of Finance and Data Science";journal;"24059188";0,610;Q2;20;8;36;350;182;36;3,11;43,75;25,00;0;0;China;Asiatic Region;"KeAi Communications Co.";"2015-2023";"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Finance (Q2); Statistics and Probability (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
106;29663;"Journal of Theoretical Biology";journal;"10958541, 00225193";0,601;Q2;173;266;1047;13492;2523;1028;2,35;50,72;26,79;5;99;United States;Northern America;"Academic Press";"1961-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
107;14785;"Statistics";journal;"02331888, 10294910";0,600;Q2;39;64;204;1853;186;204;0,73;28,95;31,62;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
108;12600154783;"Networks and Heterogeneous Media";journal;"1556181X, 15561801";0,599;Q2;40;24;93;898;122;92;1,30;37,42;27,87;0;2;United States;Northern America;"American Institute of Mathematical Sciences";"2007-2023";"Engineering (miscellaneous) (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2); Statistics and Probability (Q2)";"Computer Science; Engineering; Mathematics"
109;19600157009;"North American Actuarial Journal";journal;"10920277";0,590;Q2;51;55;109;1837;118;103;0,99;33,40;34,04;6;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
110;23559;"Journal of Statistical Computation and Simulation";journal;"15635163, 00949655";0,588;Q2;65;188;537;6117;776;535;1,19;32,54;29,98;1;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972-2023";"Applied Mathematics (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
111;23838;"Journal of Applied Probability";journal;"00219002";0,576;Q2;62;59;216;1670;222;215;0,97;28,31;22,66;0;1;United Kingdom;Western Europe;"Cambridge University Press";"1975-1979, 1981-1990, 1995-2023";"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
112;29978;"Stat";journal;"20491573";0,575;Q2;22;93;143;2699;135;143;0,75;29,02;32,09;0;10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2012-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
113;21100889419;"Annals of Actuarial Science";journal;"17484995, 17485002";0,571;Q2;18;29;65;1071;56;63;1,14;36,93;23,94;0;1;United Kingdom;Western Europe;"Cambridge University Press";"2011, 2015-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
114;21100945714;"Methods, Data, Analyses";journal;"21904936, 18646956";0,569;Q2;8;8;20;426;41;20;2,05;53,25;42,86;0;1;Germany;Western Europe;"GESIS - Leibniz Institute for the Social Sciences";"2019-2023";"Applied Mathematics (Q2); Applied Psychology (Q2); Computer Science Applications (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics; Psychology"
115;21100941199;"Statistics and Public Policy";journal;"2330443X";0,567;Q2;15;7;33;272;64;27;1,30;38,86;13,64;0;4;United States;Northern America;"Taylor and Francis Inc.";"2014-2023";"Applied Mathematics (Q2); Public Administration (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Social Sciences"
116;26928;"Stochastic Analysis and Applications";journal;"15329356, 07362994";0,565;Q2;41;37;180;1115;237;180;1,26;30,14;30,99;0;5;United States;Northern America;"Taylor and Francis Ltd.";"1983-2023";"Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
117;21100927405;"Advances in Statistical Climatology, Meteorology and Oceanography";journal;"23643587, 23643579";0,564;Q2;7;5;25;251;36;25;1,44;50,20;12,50;0;1;Germany;Western Europe;"Copernicus GmbH";"2019-2023";"Applied Mathematics (Q2); Oceanography (Q2); Statistics and Probability (Q2); Atmospheric Science (Q3)";"Earth and Planetary Sciences; Mathematics"
118;21100855990;"Journal of Dynamics and Games";journal;"21646074";0,563;Q2;11;25;65;674;95;64;1,82;26,96;26,47;1;5;United States;Northern America;"American Institute of Mathematical Sciences";"2014-2022";"Applied Mathematics (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Mathematics"
119;21100200822;"Pakistan Journal of Statistics and Operation Research";journal;"22205810, 18162711";0,547;Q2;25;75;187;2075;349;187;1,94;27,67;30,67;0;5;Pakistan;Asiatic Region;"College of Statistical and Actuarial Sciences, University of Punjab";"2011-2023";"Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
120;28930;"Computational Statistics";journal;"09434062";0,540;Q2;51;121;253;3947;319;244;1,35;32,62;29,63;2;16;Germany;Western Europe;"Springer Verlag";"1996-2023";"Computational Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
121;20642;"Empirical Economics";journal;"14358921, 03777332";0,535;Q2;68;240;555;10969;919;550;1,49;45,70;24,90;52;99;Germany;Western Europe;"Physica-Verlag";"1976-2023";"Economics and Econometrics (Q2); Mathematics (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
122;13794;"BioSystems";journal;"03032647, 18728324";0,522;Q3;83;154;357;9335;833;350;2,00;60,62;29,36;0;28;Ireland;Western Europe;"Elsevier Ireland Ltd";"1967-2023";"Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q3)";"Biochemistry, Genetics and Molecular Biology; Mathematics; Medicine"
123;19700186871;"Transactions on Data Privacy";journal;"18885063, 20131631";0,522;Q2;28;5;30;221;54;30;0,72;44,20;16,67;0;0;Spain;Western Europe;"University of Skovde";"2009-2023";"Statistics and Probability (Q2); Software (Q3)";"Computer Science; Mathematics"
124;19400158517;"Statistics in Biosciences";journal;"18671764, 18671772";0,513;Q3;20;29;95;931;108;89;1,19;32,10;42,17;1;12;United States;Northern America;"Springer New York";"2009-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Statistics and Probability (Q3)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
125;28893;"Canadian Journal of Statistics";journal;"03195724, 1708945X";0,507;Q3;56;62;110;2116;94;107;0,55;34,13;30,07;1;10;United States;Northern America;"Wiley-Blackwell";"1973-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
126;12119;"Journal of Applied Statistics";journal;"02664763, 13600532";0,507;Q3;69;152;523;4815;747;518;1,32;31,68;34,01;5;20;United Kingdom;Western Europe;"Routledge";"1970-1971, 1973-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
127;11800154594;"AStA Advances in Statistical Analysis";journal;"1863818X, 18638171";0,501;Q3;33;28;77;1086;80;76;1,06;38,79;20,97;0;1;Germany;Western Europe;"Springer Verlag";"2008-2023";"Analysis (Q2); Applied Mathematics (Q2); Economics and Econometrics (Q2); Modeling and Simulation (Q2); Social Sciences (miscellaneous) (Q2); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
128;39594;"Stochastics";journal;"17442516, 17442508";0,498;Q3;28;54;165;1423;149;164;0,78;26,35;31,31;0;1;Switzerland;Western Europe;"Gordon and Breach Science Publishers";"1975, 1979-1984, 2007-2023";"Modeling and Simulation (Q2); Statistics and Probability (Q3)";"Mathematics"
129;19900192736;"Brazilian Journal of Probability and Statistics";journal;"01030752";0,491;Q3;22;48;130;1614;107;128;0,72;33,63;19,63;0;3;Brazil;Latin America;"Associacao Brasileira de Estatistica";"2009-2023";"Statistics and Probability (Q3)";"Mathematics"
130;5800173396;"Sequential Analysis";journal;"07474946, 15324176";0,481;Q3;25;27;82;751;74;81;0,87;27,81;17,31;0;2;United States;Northern America;"Taylor and Francis Ltd.";"1984-1995, 2007-2023";"Modeling and Simulation (Q2); Statistics and Probability (Q3)";"Mathematics"
131;14188;"Statistica Neerlandica";journal;"00390402, 14679574";0,481;Q3;43;24;93;649;117;87;1,05;27,04;21,82;0;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946, 1948-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
132;12134;"Journal of Official Statistics";journal;"0282423X";0,480;Q3;32;33;120;1338;141;116;1,01;40,55;31,03;4;6;Sweden;Western Europe;"Statistics Sweden";"1986-1989, 1991, 2009-2023";"Statistics and Probability (Q3)";"Mathematics"
133;21100455415;"Regional Statistics";journal;"20648243, 20639538";0,477;Q3;19;32;61;1437;235;61;4,12;44,91;30,23;0;18;Hungary;Eastern Europe;"Hungarian Central Statistical Office";"2015-2023";"Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
134;25957;"ESAIM - Probability and Statistics";journal;"12928100, 12623318";0,472;Q3;30;16;84;494;63;84;0,66;30,88;25,00;0;0;France;Western Europe;"EDP Sciences";"1997-2023";"Statistics and Probability (Q3)";"Mathematics"
135;21100825516;"Random Matrices: Theory and Application";journal;"20103263, 20103271";0,472;Q3;20;40;62;1265;50;60;0,82;31,63;12,50;0;0;Singapore;Asiatic Region;"World Scientific";"2012-2023";"Algebra and Number Theory (Q3); Discrete Mathematics and Combinatorics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
136;11300153404;"Journal of the Korean Statistical Society";journal;"12263192";0,469;Q3;27;62;154;1769;113;149;0,60;28,53;25,81;1;3;South Korea;Asiatic Region;"Korean Statistical Society";"2008-2023";"Statistics and Probability (Q3)";"Mathematics"
137;14794;"Statistics and Probability Letters";journal;"01677152";0,465;Q3;73;213;791;3651;665;789;0,66;17,14;26,33;0;1;Netherlands;Western Europe;"Elsevier B.V.";"1982-2024";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
138;23197;"Infinite Dimensional Analysis, Quantum Probability and Related Topics";journal;"17936306, 02190257";0,464;Q3;33;25;86;633;67;86;0,90;25,32;16,28;0;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1998-2023";"Mathematical Physics (Q2); Applied Mathematics (Q3); Statistical and Nonlinear Physics (Q3); Statistics and Probability (Q3)";"Mathematics; Physics and Astronomy"
139;21100446929;"European Actuarial Journal";journal;"21909741, 21909733";0,462;Q3;19;33;83;748;85;70;0,83;22,67;17,02;1;2;Switzerland;Western Europe;"Springer International Publishing AG";"2011-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
140;21100886421;"Letters in Biomathematics";journal;"23737867";0,453;Q3;13;15;55;438;112;51;1,31;29,20;30,00;0;12;United States;Northern America;"";"2014-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Applied Mathematics (Q3); Statistics and Probability (Q3)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
141;21100415545;"International Journal for Uncertainty Quantification";journal;"21525080, 21525099";0,443;Q3;27;28;91;1140;172;87;1,46;40,71;12,82;0;0;United States;Northern America;"Begell House Inc.";"2014-2023";"Control and Optimization (Q3); Discrete Mathematics and Combinatorics (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
142;21100855508;"Dependence Modeling";journal;"23002298";0,438;Q3;14;19;66;744;41;61;0,39;39,16;31,11;0;1;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2013-2023";"Applied Mathematics (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
143;28921;"Communications in Statistics - Theory and Methods";journal;"1532415X, 03610926";0,435;Q3;71;406;1207;9701;1064;1199;0,77;23,89;28,95;2;15;United States;Northern America;"Taylor and Francis Ltd.";"1976-2023";"Statistics and Probability (Q3)";"Mathematics"
144;145274;"Journal of Statistical Mechanics: Theory and Experiment";journal;"17425468";0,429;Q3;91;319;968;16276;1542;968;1,58;51,02;19,25;1;19;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2004-2023";"Statistical and Nonlinear Physics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Physics and Astronomy"
145;21100934093;"Journal of Econometric Methods";journal;"21566674";0,427;Q3;14;11;26;345;23;26;0,65;31,36;21,43;2;2;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2013, 2015-2023";"Applied Mathematics (Q3); Economics and Econometrics (Q3); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics"
146;23526;"Communications in Statistics Part B: Simulation and Computation";journal;"15324141, 03610918";0,419;Q3;55;282;671;7781;707;670;1,00;27,59;28,75;2;17;United States;Northern America;"Taylor and Francis Ltd.";"1976-2023";"Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
147;144816;"Methodology and Computing in Applied Probability";journal;"13875841";0,417;Q3;35;72;217;2005;197;214;0,78;27,85;25,47;0;3;Netherlands;Western Europe;"Springer Netherlands";"2004-2023";"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q3)";"Mathematics"
148;145729;"Statistical Methods and Applications";journal;"16182510, 1613981X";0,405;Q3;34;63;124;2202;110;113;0,83;34,95;37,68;0;4;Germany;Western Europe;"";"1996-1997, 2000-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
149;21100206801;"Statistics and its Interface";journal;"19387989, 19387997";0,405;Q3;23;39;166;1174;81;165;0,46;30,10;40,00;0;13;United States;Northern America;"International Press of Boston, Inc.";"2011-2023";"Applied Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
150;19039;"Statistical Applications in Genetics and Molecular Biology";journal;"15446115";0,404;Q3;51;9;66;386;51;65;0,65;42,89;41,67;0;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2004-2023";"Computational Mathematics (Q3); Statistics and Probability (Q3); Genetics (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
151;6000194782;"Games";journal;"20734336";0,402;Q3;22;94;213;3360;235;208;1,01;35,74;21,81;4;9;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2010-2023";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
152;21100843362;"Stochastics and Quality Control";journal;"23672390, 23672404";0,401;Q3;15;11;30;197;27;30;0,90;17,91;18,75;0;2;Germany;Western Europe;"Walter de Gruyter GmbH";"2001-2013, 2017-2023";"Safety, Risk, Reliability and Quality (Q2); Applied Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Engineering; Mathematics"
153;28426;"Australian and New Zealand Journal of Statistics";journal;"1467842X, 13691473";0,390;Q3;46;33;76;1153;59;74;0,75;34,94;20,00;0;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
154;21100204917;"Statistics Education Research Journal";journal;"15701824";0,390;Q3;19;24;72;890;65;63;0,80;37,08;67,92;0;1;New Zealand;Pacific Region;"International Association for Statistical Education (IASE)";"2011-2023";"Education (Q2); Statistics and Probability (Q3)";"Mathematics; Social Sciences"
155;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";0,386;Q3;82;1488;3440;51916;6790;3422;1,96;34,89;35,64;0;291;Netherlands;Western Europe;"IOS Press BV";"1993-2023";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q3)";"Computer Science; Engineering; Mathematics"
156;23241;"International Journal of Game Theory";journal;"14321270, 00207276";0,381;Q3;48;51;154;1259;111;153;0,59;24,69;20,00;1;2;Germany;Western Europe;"Springer Verlag";"1971, 1973-2023";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
157;21100898991;"Modern Stochastics: Theory and Applications";journal;"23516046, 23516054";0,371;Q3;7;20;75;509;53;73;0,69;25,45;37,14;0;1;Lithuania;Eastern Europe;"VTeX";"2018-2023";"Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
158;19400157155;"Hacettepe Journal of Mathematics and Statistics";journal;"2651477X, 13035010";0,369;Q3;36;144;454;3186;474;454;0,87;22,13;25,00;0;1;Turkey;Middle East;"Hacettepe University";"2008-2023";"Algebra and Number Theory (Q3); Analysis (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3)";"Mathematics"
159;14054;"SORT";journal;"16962281, 20138830";0,366;Q3;25;6;36;160;54;36;1,68;26,67;15,79;0;1;Spain;Western Europe;"Institut d'Estadistica de Catalunya";"2003-2021, 2023";"Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
160;21100838045;"Sankhya A";journal;"0976836X, 09768378";0,365;Q3;11;33;71;977;49;70;0,80;29,61;19,30;0;0;India;Asiatic Region;"Springer India";"2010-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
161;21100209308;"Theory of Probability and Mathematical Statistics";journal;"00949000, 15477363";0,365;Q3;15;21;109;490;55;104;0,51;23,33;22,22;0;0;United States;Northern America;"American Mathematical Society";"2000, 2004-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
